Description,Link,Name
"Miss Bakkin is a former pirate, the self-proclaimed lover of Edward Newgate, and the mother of Edward Weevil, a former Warlord of the Sea.[1]
",/wiki/Bakkin,Bakkin
,/wiki/Ban_Dedessin%C3%A9e,Ban Dedessinée
"Banchi is a giant turtle used by Miss All Sunday for transportation.[2][3] It is unknown what happened to him after the Arabasta Saga. He is classified as a Type A creature, ""Big Friendly"".[4]
",/wiki/Banchi,Banchi
"Banchina[4] was Usopp's mother and Yasopp's wife.[2] She died of sickness when Usopp was still young.
",/wiki/Banchina,Banchina
"Bankuro[3] was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.[1]
",/wiki/Bankuro,Bankuro
"Banshee[2] is a member of the Spade Pirates.[1]
",/wiki/Banshee,Banshee
"Banzaburo[2] was a samurai of Wano Country who worked as a servant to the Kozuki Family until their fall 20 years ago.[1]
",/wiki/Banzaburo,Banzaburo
,"/wiki/Gyoro,_Nin,_and_Bao",Bao
"Bao Huang is a Shinuchi in the Beasts Pirates, being part of the crew's surveillance division, the ""Marys"". She appears to have the duty of keeping and presenting daily schedules for the crew and their captain Kaidou.[1]
",/wiki/Bao_Huang,Bao Huang
"Bariete[4][5] is a monkey mink[1] who is a member of the Recon Squad (偵察隊, Teisatsu-tai?),[2] and the one in charge of guarding the gates of the Mokomo Dukedom.[3]
",/wiki/Bariete,Bariete
"The Tsumegeri Guards were four men who drank the Hero Water and attempted to take down Crocodile, but failed and died from the water's side effects shortly after Crocodile refused to even fight them to give them an honorable death.[1]
",/wiki/Tsumegeri_Guards,Barrel
"Barry[1][2] is a member of the Spade Pirates.[2]
",/wiki/Barry,Barry
,/wiki/Bartholomew_Kuma,Bartholomew Kuma
,/wiki/Bartolomeo,Bartolomeo
,/wiki/Baskerville,Bas
,/wiki/Basil_Hawkins,Basil Hawkins
"The Basilisk is the second-in-command of Impel Down's Level 2: Beast Hell, under the Sphinx.[1]
",/wiki/Basilisk,Basilisk
"""Shark Cutter"" Bastille is a Marine Vice Admiral who took part in the Summit War of Marineford. He later appeared in Dressrosa under the command of Admiral Fujitora.[2]
",/wiki/Bastille,Bastille
"Batchee[4] is a fly that Fullbody put in his soup to try to humiliate Sanji.[2]
",/wiki/Batchee,Batchee
"Batman is a Gifter in the Beasts Pirates.[1]
",/wiki/Batman,Batman
"Baxcon[2] is a dwarf from Tontatta Kingdom who first appeared in the Riku Royal Army Headquarters beneath the Flower Field.[1]
",/wiki/Baxcon,Baxcon
"Beer VI is the king of the Roshwan Kingdom.[2]
",/wiki/Beer_VI,Beer VI
"Belo Betty is the commander of the East Army in the Revolutionary Army.[1]
",/wiki/Belo_Betty,Belo Betty
,/wiki/Belladonna,Belladonna
,/wiki/Bellamy,Bellamy
"Bellett[3] was the prince of an unnamed kingdom who became a pirate and was consequently imprisoned in Impel Down, and whose gender was unwillingly inverted.
",/wiki/Bellett,Bellett
"Bell-mère[5] was a former Marine and the adoptive mother of Nami and Nojiko, introduced in a flashback during the Arlong Park Arc.[1] She raised the two girls as their foster mother until she was murdered by Arlong, 10 years ago.
",/wiki/Bell-m%C3%A8re,Bell-mère
"Benn Beckman[6] is the first mate and an officer of the Red Hair Pirates.[2][7]
",/wiki/Benn_Beckman,Benn Beckman
,/wiki/Bentham,Bentham
,/wiki/Bepo,Bepo
"Bian is a dwarf from Tontatta Kingdom who serves as the leader of the Pink Bee Squad[1] and a member of the Tontatta Pirates.[5]
",/wiki/Bian,Bian
,/wiki/Big_Pan,Big Pan
,/wiki/Bimine,Bimine
,/wiki/Bingo,Bingo
"Bishamon[5] is a ninja and a member of the Beasts Pirates.[3] He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi.[2]
",/wiki/Bishamon,Bishamon
"Biyo is a child who was held captive on Punk Hazard by Caesar Clown.[2] He was freed with the rest of the children by the Straw Hat Pirates.
",/wiki/Biyo,Biyo
"Bizarre[3] is an infamous New World pirate captain who was allied with Whitebeard.
",/wiki/Bizarre,Bizarre
"Black Maria is one of the Tobiroppo, the strongest six Shinuchi of the Beasts Pirates.[5] She owns her own brothel on Onigashima near Kaidou's mansion.[2]
",/wiki/Black_Maria,Black Maria
"Blackback, also known by his initials BB, is a gorilla mink and a Guardian of the Whale Forest.[2]
",/wiki/Blackback,Blackback
,/wiki/Blamenco,Blamenco
"Blenheim is the commander of the 9th division of the Whitebeard Pirates.[5][2]
",/wiki/Blenheim,Blenheim
"Blondie[3] is an infamous New World pirate who was allied with Whitebeard.[1]
",/wiki/Blondie,Blondie
,/wiki/Blue_Fan,Blue Fan
"Blue Gilly[7] is a martial artist from the Longleg Tribe. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.[2] He is an ally of Luffy during the Dressrosa Arc. After the battle with the Donquixote Pirates at Dressrosa, he became part of the Straw Hat Grand Fleet[3] when he joined the XXX Gym Martial Arts Alliance, which later converted to a pirate crew called the Ideo Pirates.[4]
",/wiki/Blue_Gilly,Blue Gilly
,/wiki/Bluejam,Bluejam
,/wiki/Blueno,Blueno
"Blumarine[3] was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.[1]
",/wiki/Blumarine,Blumarine
,/wiki/Boa_Hancock,Boa Hancock
"Boa Marigold[5] is one of the three Gorgon Sisters that rule over Amazon Lily, and one of the second-in commands of the Kuja Pirates. She and her sisters are called the Gorgon sisters for supposedly heroically slaying a monster called the Gorgon.[6] She is the younger sister of Boa Hancock and Boa Sandersonia.[1]
",/wiki/Boa_Marigold,Boa Marigold
,/wiki/Boa_Sandersonia,Boa Sandersonia
"""Sweeper"" Bobbin is a bishop-ranked combatant[3] of the Big Mom Pirates.[1]
",/wiki/Bobbin,Bobbin
,/wiki/Bobby_Funk,Bobby Funk
,/wiki/Bobomba,Bobomba
"Bogard[2] is a Marine Headquarters Marine and the right hand man of Vice Admiral Monkey D. Garp.[1] His actual rank is currently unknown.
",/wiki/Bogard,Bogard
,/wiki/Bomba_(Marine),Bomba
,/wiki/Bomba,Bomba
"Bongo is a former lumber dealer who currently lives in Ebisu Town in Wano Country.[4] He formerly lived in the Flower Capital, but was exiled after being swindled by Komurasaki.[1]
",/wiki/Bongo,Bongo
"Bonk Punch[2] is an officer of the Red Hair Pirates.[1]
",/wiki/Bonk_Punch,Bonk Punch
,/wiki/Boo,Boo
"Boodle is the mayor of Orange Town.[1] He is an ally of the Straw Hat Pirates during the Orange Town Arc.
",/wiki/Boodle,Boodle
,/wiki/Borsalino,Borsalino
,/wiki/Super_Spot-Billed_Duck_Troops,Bourbon Jr.
"Braham is one of the Shandia warriors who fought to take back Upper Yard from Enel.[1]
",/wiki/Braham,Braham
"The Tsumegeri Guards were four men who drank the Hero Water and attempted to take down Crocodile, but failed and died from the water's side effects shortly after Crocodile refused to even fight them to give them an honorable death.[1]
",/wiki/Tsumegeri_Guards,Brahm
,/wiki/Brannew,Brannew
,/wiki/Brew,Brew
"Briscola is a Shinuchi in the Beasts Pirates.[1] During the raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance.[3]
",/wiki/Briscola,Briscola
"Brocca[2] is an infamous New World pirate captain who was subordinate to Whitebeard.[1]
",/wiki/Brocca,Brocca
"Brogy the Red Ogre is a giant from Elbaf and one of the two former captains of the Giant Warrior Pirates alongside Dorry. He was an ally of the Straw Hat Pirates during the Little Garden Arc.
",/wiki/Brogy,Brogy
"Brontosaurus was a dinosaur who lived on Little Garden.[1]
",/wiki/Brontosaurus,Brontosaurus
,/wiki/Brook,Brook
"Buche is a member of the WCI 31, serving as the head chef of the first kitchen.[1]
",/wiki/Buche,Buche
"Buchi is an officer of the Black Cat Pirates.[2] Along with his partner Sham, he is also the protector of the crew's ship, the Bezan Black, and together they are known as the Nyaban Brothers (ニャーバン・兄弟（ブラザーズ）, Nyāban Burazāzu?).[1]
",/wiki/Buchi,Buchi
"Buffalo is the alias[5] of a combatant of the Donquixote Pirates[1] and an officer of the Pica Army.[6] His real name has yet to be revealed.[5]
",/wiki/Buffalo,Buffalo
,/wiki/Buggy,Buggy
"Buhichuck was the boss of the ""Surprise Zombies"" in the dining room.
",/wiki/Buhichuck,Buhichuck
"Building Snake[2] is an officer of the Red Hair Pirates.[3]
",/wiki/Building_Snake,Building Snake
"Bunbuku is a teapot owned by Tenguyama Hitetsu that was given life by ""eating"" the Inu Inu no Mi, Model: Tanuki.[2]
",/wiki/Bunbuku,Bunbuku
"Bungo is an arsonist in Wano Country who currently lives in Ebisu Town.[2] He formerly lived in the Flower Capital, but was exiled after being swindled by Komurasaki.[1]
",/wiki/Bungo,Bungo
"Bunny Joe[2] is a member of the Revolutionary Army and the leader of the group that rescued people of Tequila Wolf from slavery along with Nico Robin.[1]
",/wiki/Bunny_Joe,Bunny Joe
,/wiki/Bushon,Bushon
"Busshiri[2] was one of the archaeologists of Ohara.[1]
",/wiki/Busshiri,Busshiri
,/wiki/Byron,Byron
,/wiki/Cabaji,Cabaji
,/wiki/Caesar_Clown,Caesar Clown
"Caimanlady[2] is a Gifter in the Beasts Pirates, being part of the surveillance division called the ""Marys"".[1][3]
",/wiki/Caimanlady,Caimanlady
"Camie[3] is a kissing gourami mermaid that first appeared in Hatchan's Sea-Floor Stroll cover story. She first appeared in the main series after being spat out of a large sea boar that was saved by Hatchan, along with her starfish pet and master, Pappag.[5] While dreaming of becoming a designer,[6] she worked on Hatchan's Takoyaki 8 when she first met the Straw Hat Pirates. After the timeskip, she is a waitress at the Mermaid Cafe on Fish-Man Island.[7]
",/wiki/Camie,Camie
,/wiki/Camel,Camel
"Cancer[3] is a Marine vice admiral.
",/wiki/Cancer,Cancer
,/wiki/Candre,Candre
,/wiki/Cands,Cands
"Candy[2] is the captain of the Candy Pirates.[1]
",/wiki/Candy,Candy
,/wiki/Capone_Bege,Capone Bege
"Capone ""Gang"" Pez is the infant son of Capone Bege and Charlotte Chiffon, as well as the grandson of Charlotte Linlin and Pound.[1]
",/wiki/Capone_Pez,Capone Pez
,/wiki/Capote,Capote
"""Wet-Haired Caribou""[1][8] is an infamous rookie pirate who was at the Sabaody Archipelago around the time of the Straw Hat Pirates' reunion. He has earned a bounty of 210,000,000, making him part of the new generation of rookie pirates with bounties over 100,000,000.[2]
",/wiki/Caribou,Caribou
"Mother Carmel was a child trafficker dealing in orphans, that operated in the Underworld several decades ago, under the code name of ""Mountain Witch"". Running an orphanage known as the ""Sheep's House"", her seemingly benevolent nature caused her to be known as the ""Holy Mother"".[3] 
",/wiki/Carmel,Carmel
"Carne is one of the main cooks working as charcutier of the floating restaurant ship, Baratie.
",/wiki/Carne,Carne
,/wiki/Carrot,Carrot
,/wiki/Catacombo,Catacombo
,/wiki/Catarina_Devon,Catarina Devon
,/wiki/Cavendish,Cavendish
"CB Gallant[3] was a member of the Roger Pirates until the crew's dissolution.[1] His current whereabouts and status are unknown.
",/wiki/CB_Gallant,CB Gallant
"Cerberus was a wild zombie who served under Gecko Moria.[1]
",/wiki/Cerberus,Cerberus
"Cezar[3] is the recently-crowned king of Ilisia Kingdom and one of fifty monarchs who took part in the Levely.[2]
",/wiki/Cezar,Cezar
"Chabo is a young boy from Gosa Village.[1] He works for Nojiko on her tangerine farm.[2]
",/wiki/Chabo,Chabo
"Chadros Higelyges,[7] better known as Brownbeard, is a former New World pirate. After Whitebeard's death he went off and took control of Foodvalten, one of the New World islands formerly under Whitebeard's protection.[2]
",/wiki/Chadros_Higelyges,Chadros Higelyges
"Chaka the Jackal[3] is one of two head guards in the Arabasta kingdom who serves under Igaram, alongside Pell.[2] Chaka was the acting captain of the royal guard in Igaram's absence.
",/wiki/Chaka,Chaka
"Chao is a dwarf from Tontatta Kingdom who first appeared in the SMILE Factory.[1]
",/wiki/Chao,Chao
"Chap[3] is the king of Deul Kingdom (ドイル王国, Doiru Ōkoku?) in the North Blue and one of fifty monarchs who took part in the Levely.[2][3]
",/wiki/Chap,Chap
"""Rope-Tugging"" Chappe is an ex-prisoner who was a henchman for Caesar Clown. He was first seen fighting against the Marines of G-5 on Punk Hazard.[1]
",/wiki/Chappe,Chappe
,/wiki/Charlos,Charlos
"The Charlotte Decuplets are the 36-40th sons and 30-34th daughters of the Charlotte Family, making up the 65-74th children in the family, and are all officers of the Big Mom Pirates.[2][3] They are the largest group of Big Mom's children born in a single birth.[4]
",/wiki/Charlotte_Decuplets,Charlotte Akimeg
"The Charlotte Decuplets are the 36-40th sons and 30-34th daughters of the Charlotte Family, making up the 65-74th children in the family, and are all officers of the Big Mom Pirates.[2][3] They are the largest group of Big Mom's children born in a single birth.[4]
",/wiki/Charlotte_Decuplets,Charlotte Allmeg
,/wiki/Charlotte_Amande,Charlotte Amande
,/wiki/Charlotte_Anana,Charlotte Anana
"Charlotte Angel is the seventh daughter and 17th child of the Charlotte Family[5] and the younger triplet sister of Cracker and Custard.[4] She is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Angel,Charlotte Angel
"Charlotte Anglais[4] is the 42nd son and 78th child of the Charlotte Family and a member of the Big Mom Pirates.[1][2]
",/wiki/Charlotte_Anglais,Charlotte Anglais
"Charlotte Basans is the 23rd son and 39th child of the Charlotte Family and the younger twin brother of Saint-Marc.[3] He also is an officer of the Big Mom Pirates.[4]
",/wiki/Charlotte_Basans,Charlotte Basans
"Charlotte Basskarte is the 13th son and 22nd child of the Charlotte Family and the middle triplet brother of Nusstorte and Dosmarche.[6] He is also an officer of the Big Mom Pirates.[4]
",/wiki/Charlotte_Basskarte,Charlotte Basskarte
"Charlotte Bavarois is the 26th son and 45th child of the Charlotte Family,[2] as well as an officer of the Big Mom Pirates.[3] He is the younger twin brother of Snack.[4]
",/wiki/Charlotte_Bavarois,Charlotte Bavarois
"Charlotte Brownie[1] is the 32nd son and 58th child of the Charlotte Family[1] and an officer of the Big Mom Pirates.[2] He joined Charlotte Oven's army to intercept the Straw Hat Pirates on Cacao Island.[1]
",/wiki/Charlotte_Brownie,Charlotte Brownie
"Charlotte Broyé is the ninth daughter and 20th child of the Charlotte Family[4] and the younger twin sister of Brûlée.[5] She is also an officer of the Big Mom Pirates[3] and serves as Totto Land's Minister of Meringue (メレンゲ大臣, Merenge Daijin?), governing over Milenge Island.[4]
",/wiki/Charlotte_Broy%C3%A9,Charlotte Broyé
"Charlotte Brûlée is the eighth daughter and 19th child of the Charlotte Family and the older twin sister of Broyé.[2][5] She is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Br%C3%BBl%C3%A9e,Charlotte Brûlée
"Charlotte Cabaletta is the eighth son and the 13th child of the Charlotte Family and the fourth quintuplet brother of Opera, Counter, Cadenza, and Gala.[2] He is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Cabaletta,Charlotte Cabaletta
"Charlotte Cadenza is the seventh son and the twelfth child of the Charlotte Family and the third quintuplet brother of Opera, Counter, Cabaletta, and Gala.[2] He is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Cadenza,Charlotte Cadenza
"Charlotte Chiboust[4] is the 30th son and 51st child of the Charlotte Family[3] and an officer of the Big Mom Pirates.[2] He also serves as Totto Land's Minister of Mix (ミックス大臣, Mikkusu Daijin?), governing over Sanshoku Island.[3] He was a member of Charlotte Oven's army to ambush Luffy on Cacao Island.[1]
",/wiki/Charlotte_Chiboust,Charlotte Chiboust
"Charlotte Chiffon is the 22nd daughter and the 52nd child of the Charlotte Family and Totto Land's former Minister of Puff (ふんわり大臣, Funwari Daijin?, Viz: ""Minister of Fluff"").[3] She is Capone Bege's wife and the mother of Capone Pez, as well as a member of Bege's Fire Tank Pirates.[8]
",/wiki/Charlotte_Chiffon,Charlotte Chiffon
"Charlotte Cinnamon is the 16th daughter and 37th child of the Charlotte Family,[5] the younger triplet sister of Smoothie and Citron,[3] and a longleg-human hybrid.[6] She also is an officer of the Big Mom Pirates.[2]
",/wiki/Charlotte_Cinnamon,Charlotte Cinnamon
"Charlotte Citron[6] is the 15th daughter and 36th child of the Charlotte Family, the middle triplet sister of Smoothie and Cinnamon,[4] and a longleg-human hybrid.[7] She also is an officer of the Big Mom Pirates[2] and serves as Totto Land's Minister of Eggs (エッグ大臣, Eggu Daijin?), governing over Kimi Island.[3]
",/wiki/Charlotte_Citron,Charlotte Citron
"Charlotte Compo[5] is the 17th son and 28th child of the Charlotte Family and the older twin brother of Laurin.[4] He also is an officer of the Big Mom Pirates[3] and serves as Totto Land's Minister of Pie (パイ大臣, Pai Daijin?), governing over Piepie Island.[4]
",/wiki/Charlotte_Compo,Charlotte Compo
"Charlotte Compote[6] is the eldest daughter and second child of the Charlotte Family[4] and an officer of the Big Mom Pirates.[3] She also serves as Totto Land's Minister of Fruits (フルーツ大臣, Furūtsu Daijin?), governing over Fruits Island.[2]
",/wiki/Charlotte_Compote,Charlotte Compote
"Charlotte Cornstarch is the 11th daughter and 27th child of the Charlotte Family and the younger triplet sister of Moscato and Mash.[5] She also is an officer of the Big Mom Pirates[3] and serves as Totto Land's Minister of Love (愛情大臣, Aijō Daijin?), governing over Loving Island.[4]
",/wiki/Charlotte_Cornstarch,Charlotte Cornstarch
"Charlotte Counter is the sixth son and the 11th child of the Charlotte Family and the second quintuplet brother of Opera, Cadenza, Cabaletta, and Gala.[3] He is also an officer of the Big Mom Pirates.[4]
",/wiki/Charlotte_Counter,Charlotte Counter
"""Thousand Arms"" Charlotte Cracker[4][9] is the tenth son and 15th child of the Charlotte Family and the oldest triplet brother of Custard and Angel.[10] He is also one of the Three Sweet Commanders of the Big Mom Pirates and serves as Totto Land's Minister of Biscuits (ビスケット大臣, Bisuketto Daijin?), governing Biscuits Island.
",/wiki/Charlotte_Cracker,Charlotte Cracker
"Charlotte Custard is the sixth daughter and 16th child of the Charlotte Family and the middle triplet sister of Cracker and Angel.[5] She is also an officer of the Big Mom Pirates.[4]
",/wiki/Charlotte_Custard,Charlotte Custard
"Charlotte Dacquoise[5] is the 24th son and 41st child of the Charlotte Family[2] and an officer of the Big Mom Pirates.[3] He also serves as Totto Land's Minister of Jam (ジャム大臣, Jamu Daijin?), governing over Jam Island.[4]
",/wiki/Charlotte_Dacquoise,Charlotte Dacquoise
"Charlotte Daifuku[7] is the third son and fourth child of the Charlotte Family[1] and the middle triplet brother of Katakuri and Oven.[4] He is also an officer of the Big Mom Pirates[2] and serves as Totto Land's Minister of Beans (豆大臣, Mame Daijin?), governing over Poripori Island.[3]
",/wiki/Charlotte_Daifuku,Charlotte Daifuku
"Charlotte De-Chat is the 44th son and the 81st child of the Charlotte Family.[3] He is a hybrid between a human and a fish-man.[2]
",/wiki/Charlotte_De-Chat,Charlotte De-Chat
,/wiki/Charlotte_Dolce_and_Drag%C3%A9e,Charlotte Dolce
"Charlotte Dosmarche[5] is the 14th son and 23rd child of the Charlotte Family and the younger triplet brother of Nusstorte and Basskarte.[4] He also is an officer of the Big Mom Pirates[3] and serves as Totto Land's Minister of Tea (お茶大臣, Ocha Daijin?), governing over Black Island.[4]
",/wiki/Charlotte_Dosmarche,Charlotte Dosmarche
,/wiki/Charlotte_Dolce_and_Drag%C3%A9e,Charlotte Dragée
"Charlotte Effilée is the fifth daughter and ninth child of the Charlotte Family, the youngest quadruplet sister of Mondée, Amande, and Hachée, and a snakeneck-human hybrid.[5] She is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Effil%C3%A9e,Charlotte Effilée
,/wiki/Charlotte_Flampe,Charlotte Flampe
"The Charlotte Decuplets are the 36-40th sons and 30-34th daughters of the Charlotte Family, making up the 65-74th children in the family, and are all officers of the Big Mom Pirates.[2][3] They are the largest group of Big Mom's children born in a single birth.[4]
",/wiki/Charlotte_Decuplets,Charlotte Fuyumeg
"Charlotte Gala is the ninth son and the 14th child of the Charlotte Family and the youngest quintuplet brother of Opera, Counter, Cadenza, and Cabaletta.[1]
",/wiki/Charlotte_Gala,Charlotte Gala
"Charlotte Galette is the 18th daughter and the 42nd child of the Charlotte Family and the older twin sister of Poire.[8] She is also an officer of the Big Mom Pirates[4] and serves as Totto Land's Minister of Butter (バター大臣, Batā Daijin?),[2] governing over Margarine Island.[5]
",/wiki/Charlotte_Galette,Charlotte Galette
"Charlotte Hachée is the fourth daughter and eighth child of the Charlotte Family, the third quadruplet sister to Mondée, Amande, and Effilée,[5] and a snakeneck-human hybrid.[3] She is also an officer of the Big Mom Pirates.[4]
",/wiki/Charlotte_Hach%C3%A9e,Charlotte Hachée
"The Charlotte Decuplets are the 36-40th sons and 30-34th daughters of the Charlotte Family, making up the 65-74th children in the family, and are all officers of the Big Mom Pirates.[2][3] They are the largest group of Big Mom's children born in a single birth.[4]
",/wiki/Charlotte_Decuplets,Charlotte Harumeg
"Charlotte High-Fat[5] is the 20th son and 33rd child of the Charlotte Family[2] and the older twin brother of Tablet.[4] He is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_High-Fat,Charlotte High-Fat
"Charlotte Joconde is the 27th daughter and 59th child of the Charlotte Family[1] and an officer of the Big Mom Pirates.[2] She was also a member of Charlotte Oven's army to intercept the Straw Hat Pirates on Cacao Island.[1]
",/wiki/Charlotte_Joconde,Charlotte Joconde
"Charlotte Joscarpone is the 29th daughter[6] and 63rd child of the Charlotte Family, the younger twin sister of Charlotte Mascarpone, and a Snakeneck-human hybrid.[2] She is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Joscarpone,Charlotte Joscarpone
"Charlotte Kanten[7] is the 27th son and 48th child of the Charlotte Family[4] and the eldest triplet brother of Kato and Montb.[6] He is also an officer of the Big Mom Pirates[5] and serves as Totto Land's Minister of Agar (寒天大臣, Kanten Daijin?), governing over Jelly Island.[6]
",/wiki/Charlotte_Kanten,Charlotte Kanten
"Charlotte Katakuri is the second son and third child of the Charlotte Family[3] and the elder triplet brother of Daifuku and Oven.[5] He is also one of the Three Sweet Commanders of the Big Mom Pirates[4] and serves as Totto Land's Minister of Flour (粉大臣, Kona Daijin?), governing over Komugi Island.[5] 
",/wiki/Charlotte_Katakuri,Charlotte Katakuri
"Charlotte Kato is the 28th son and 49th child of the Charlotte Family[3] and the middle triplet brother of Kanten and Montb.[5] He also is an officer of the Big Mom Pirates[4] and serves as Totto Land's Minister of Seeds (シード大臣, Shīdo Daijin?), governing over Tanega Island.[5]
",/wiki/Charlotte_Kato,Charlotte Kato
"Charlotte Laurin is the 18th son and 29th child of the Charlotte Family and the younger twin brother of Compo.[2] He is also an officer of the Big Mom Pirates.[3]
",/wiki/Charlotte_Laurin,Charlotte Laurin
,/wiki/Charlotte_Linlin,Charlotte Linlin
